,Company,TypeName,Ram,Weight,Price,TouchScreen,Ips,Ppi,Cpu_brand,HDD,SSD,Gpu_brand,Os
154,7,4,1,0.2791519434628976,10.96212748563856,0,0,0.2549513724206101,2,0,8,1,2
155,7,3,2,0.4310954063604241,10.403666298916727,0,0,0.19332617576391958,2,0,8,0,2
156,10,0,1,0.37102473498233224,10.419692282932576,1,1,0.2549513724206101,1,0,8,1,2
157,2,0,3,0.14487632508833928,11.157152970844,1,0,0.28657482859970135,2,0,8,1,2
158,4,0,3,0.3074204946996467,10.931153634628432,1,0,0.19332617576391958,3,0,8,1,2
159,16,3,1,0.4982332155477033,10.078119620845705,0,0,0.037693609068564726,1,3,0,1,2
160,2,3,1,0.47349823321554774,9.974497588178815,0,0,0.037693609068564726,0,4,0,0,2
161,0,3,1,0.8162544169611308,10.666403303650696,0,1,0.14033919308945292,2,0,8,2,2
162,4,3,3,0.5088339222614842,10.56586207442882,0,0,0.19332617576391958,2,0,8,0,2
163,10,1,5,0.6395759717314489,10.959350991490268,0,1,0.19332617576391958,3,0,8,2,2
164,0,3,1,0.4982332155477033,9.827763506006608,0,0,0.037693609068564726,4,4,0,1,2
165,11,1,5,0.6042402826855124,11.470547260182666,0,1,0.19332617576391958,3,4,8,2,2
166,0,3,1,0.4982332155477033,9.871367833143674,0,0,0.037693609068564726,4,4,0,1,2
167,4,1,3,0.6607773851590107,10.942047370678033,0,0,0.19332617576391958,3,4,5,2,2
168,0,3,3,0.8162544169611308,10.725492220020705,0,1,0.14033919308945292,2,0,8,2,2
169,7,3,1,0.2826855123674912,10.60095339424009,0,1,0.28657482859970135,2,3,0,1,2
